state,ashkenazi,balkan,british_irish,east_european,finnish,french_german,iberian,italian,middle_eastern,sardinian,scandinavian
florida,5.8%,1.3%,40.1%,3.5%,0.3%,11.1%,1.0%,2.4%,0.4%,0.1%,3.4%
hawaii,3.2%,0.7%,36.2%,3.3%,0.2%,12.9%,2.6%,1.8%,0.4%,0.1%,5.4%
kentucky,1.6%,0.3%,50.5%,1.1%,0.2%,11.9%,0.5%,0.6%,0.1%,0.0%,3.6%
rhode_island,7.9%,0.9%,35.1%,3.4%,0.1%,8.2%,3.7%,8.7%,0.7%,0.1%,2.3%
nebraska,1.3%,0.6%,34.3%,5.2%,0.2%,15.9%,0.3%,0.5%,0.4%,0.0%,7.2%
texas,2.4%,0.5%,46.7%,2.7%,0.3%,11.4%,0.7%,0.9%,0.2%,0.0%,4.0%
new_mexico,2.3%,0.7%,43.4%,3.1%,0.4%,11.8%,1.1%,1.0%,0.0%,0.1%,3.8%
missouri,3.8%,0.5%,42.2%,2.4%,0.1%,14.2%,0.5%,1.1%,0.1%,0.1%,4.1%
south_dakota,0.5%,0.9%,28.7%,3.1%,0.6%,16.3%,0.3%,0.5%,0.0%,0.0%,14.9%
alabama,1.8%,0.3%,53.7%,1.2%,0.1%,9.5%,0.4%,0.7%,0.2%,0.0%,3.6%
